LRU Cache:
300: hit=false
304: hit=true
308: hit=true
30C: hit=true
310: hit=true
314: hit=true
318: hit=true
31C: hit=true
320: hit=true
324: hit=true
328: hit=true
32C: hit=true
330: hit=true
334: hit=true
338: hit=true
33C: hit=true
340: hit=false
344: hit=true
348: hit=true
34C: hit=true
350: hit=true
354: hit=true
358: hit=true
35C: hit=true
360: hit=true
364: hit=true
368: hit=true
36C: hit=true
370: hit=true
374: hit=true
378: hit=true
37C: hit=true
380: hit=false
384: hit=true
388: hit=true
38C: hit=true
390: hit=true
394: hit=true
398: hit=true
39C: hit=true
3A0: hit=true
3A4: hit=true
3A8: hit=true
3AC: hit=true
3B0: hit=true
3B4: hit=true
3B8: hit=true
3BC: hit=true
3C0: hit=false
3C4: hit=true
3C8: hit=true
3CC: hit=true
3D0: hit=true
3D4: hit=true
3D8: hit=true
3DC: hit=true
3E0: hit=true
3E4: hit=true
3E8: hit=true
3EC: hit=true
3F0: hit=true
3F4: hit=true
3F8: hit=true
3FC: hit=true
400: hit=false
404: hit=true
408: hit=true
40C: hit=true
410: hit=true
414: hit=true
418: hit=true
41C: hit=true
420: hit=true
424: hit=true
428: hit=true
42C: hit=true
430: hit=true
434: hit=true
438: hit=true
43C: hit=true
440: hit=false
444: hit=true
448: hit=true
44C: hit=true
450: hit=true
454: hit=true
458: hit=true
45C: hit=true
460: hit=true
464: hit=true
468: hit=true
46C: hit=true
470: hit=true
474: hit=true
478: hit=true
47C: hit=true
480: hit=false
484: hit=true
488: hit=true
48C: hit=true
490: hit=true
494: hit=true
498: hit=true
49C: hit=true
4A0: hit=true
4A4: hit=true
4A8: hit=true
4AC: hit=true
4B0: hit=true
4B4: hit=true
4B8: hit=true
4BC: hit=true
4C0: hit=false
4C4: hit=true
4C8: hit=true
4CC: hit=true
4D0: hit=true
4D4: hit=true
4D8: hit=true
4DC: hit=true
4E0: hit=true
4E4: hit=true
4E8: hit=true
4EC: hit=true
4F0: hit=true
4F4: hit=true
4F8: hit=true
4FC: hit=true
500: hit=false
504: hit=true
508: hit=true
50C: hit=true
510: hit=true
514: hit=true
518: hit=true
51C: hit=true
520: hit=true
524: hit=true
528: hit=true
52C: hit=true
530: hit=true
534: hit=true
538: hit=true
53C: hit=true
540: hit=false
544: hit=true
548: hit=true
54C: hit=true
550: hit=true
554: hit=true
558: hit=true
55C: hit=true
560: hit=true
564: hit=true
568: hit=true
56C: hit=true
570: hit=true
574: hit=true
578: hit=true
57C: hit=true
580: hit=false
584: hit=true
588: hit=true
58C: hit=true
590: hit=true
594: hit=true
598: hit=true
59C: hit=true
5A0: hit=true
5A4: hit=true
5A8: hit=true
5AC: hit=true
5B0: hit=true
5B4: hit=true
5B8: hit=true
5BC: hit=true
5C0: hit=false
5C4: hit=true
5C8: hit=true
5CC: hit=true
5D0: hit=true
5D4: hit=true
5D8: hit=true
5DC: hit=true
5E0: hit=true
5E4: hit=true
5E8: hit=true
5EC: hit=true
5F0: hit=true
5F4: hit=true
5F8: hit=true
5FC: hit=true
600: hit=false
604: hit=true
608: hit=true
60C: hit=true
610: hit=true
614: hit=true
618: hit=true
61C: hit=true
620: hit=true
624: hit=true
628: hit=true
62C: hit=true
630: hit=true
634: hit=true
638: hit=true
63C: hit=true
640: hit=false
644: hit=true
648: hit=true
64C: hit=true
650: hit=true
654: hit=true
658: hit=true
65C: hit=true
660: hit=true
664: hit=true
668: hit=true
66C: hit=true
670: hit=true
674: hit=true
678: hit=true
67C: hit=true
680: hit=false
684: hit=true
688: hit=true
68C: hit=true
690: hit=true
694: hit=true
698: hit=true
69C: hit=true
6A0: hit=true
6A4: hit=true
6A8: hit=true
6AC: hit=true
6B0: hit=true
6B4: hit=true
6B8: hit=true
6BC: hit=true
6C0: hit=false
6C4: hit=true
6C8: hit=true
6CC: hit=true
6D0: hit=true
6D4: hit=true
6D8: hit=true
6DC: hit=true
6E0: hit=true
6E4: hit=true
6E8: hit=true
6EC: hit=true
6F0: hit=true
6F4: hit=true
6F8: hit=true
6FC: hit=true
700: hit=false
704: hit=true
708: hit=true
70C: hit=true
710: hit=true
714: hit=true
718: hit=true
71C: hit=true
720: hit=true
724: hit=true
728: hit=true
72C: hit=true
730: hit=true
734: hit=true
738: hit=true
73C: hit=true
740: hit=false
744: hit=true
748: hit=true
74C: hit=true
750: hit=true
754: hit=true
758: hit=true
75C: hit=true
760: hit=true
764: hit=true
768: hit=true
76C: hit=true
770: hit=true
774: hit=true
778: hit=true
77C: hit=true
780: hit=false
784: hit=true
788: hit=true
78C: hit=true
790: hit=true
794: hit=true
798: hit=true
79C: hit=true
7A0: hit=true
7A4: hit=true
7A8: hit=true
7AC: hit=true
7B0: hit=true
7B4: hit=true
7B8: hit=true
7BC: hit=true
7C0: hit=false
7C4: hit=true
7C8: hit=true
7CC: hit=true
7D0: hit=true
7D4: hit=true
7D8: hit=true
7DC: hit=true
7E0: hit=true
7E4: hit=true
7E8: hit=true
7EC: hit=true
7F0: hit=true
7F4: hit=true
7F8: hit=true
7FC: hit=true
800: hit=false
804: hit=true
808: hit=true
80C: hit=true
810: hit=true
814: hit=true
818: hit=true
81C: hit=true
820: hit=true
824: hit=true
828: hit=true
82C: hit=true
830: hit=true
834: hit=true
838: hit=true
83C: hit=true
840: hit=false
844: hit=true
848: hit=true
84C: hit=true
850: hit=true
854: hit=true
858: hit=true
85C: hit=true
860: hit=true
864: hit=true
868: hit=true
86C: hit=true
870: hit=true
874: hit=true
878: hit=true
87C: hit=true
880: hit=false
884: hit=true
888: hit=true
88C: hit=true
890: hit=true
894: hit=true
898: hit=true
89C: hit=true
8A0: hit=true
8A4: hit=true
8A8: hit=true
8AC: hit=true
8B0: hit=true
8B4: hit=true
8B8: hit=true
8BC: hit=true
8C0: hit=false
8C4: hit=true
8C8: hit=true
8CC: hit=true
8D0: hit=true
8D4: hit=true
8D8: hit=true
8DC: hit=true
8E0: hit=true
8E4: hit=true
8E8: hit=true
8EC: hit=true
8F0: hit=true
8F4: hit=true
8F8: hit=true
8FC: hit=true
900: hit=false
904: hit=true
908: hit=true
90C: hit=true
910: hit=true
914: hit=true
918: hit=true
91C: hit=true
920: hit=true
924: hit=true
928: hit=true
92C: hit=true
930: hit=true
934: hit=true
938: hit=true
93C: hit=true
940: hit=false
944: hit=true
948: hit=true
94C: hit=true
950: hit=true
954: hit=true
958: hit=true
95C: hit=true
960: hit=true
964: hit=true
968: hit=true
96C: hit=true
970: hit=true
974: hit=true
978: hit=true
97C: hit=true
980: hit=false
984: hit=true
988: hit=true
98C: hit=true
990: hit=true
994: hit=true
998: hit=true
99C: hit=true
9A0: hit=true
9A4: hit=true
9A8: hit=true
9AC: hit=true
9B0: hit=true
9B4: hit=true
9B8: hit=true
9BC: hit=true
9C0: hit=false
9C4: hit=true
9C8: hit=true
9CC: hit=true
9D0: hit=true
9D4: hit=true
9D8: hit=true
9DC: hit=true
9E0: hit=true
9E4: hit=true
9E8: hit=true
9EC: hit=true
9F0: hit=true
9F4: hit=true
9F8: hit=true
9FC: hit=true
A00: hit=false
A04: hit=true
A08: hit=true
A0C: hit=true
A10: hit=true
A14: hit=true
A18: hit=true
A1C: hit=true
A20: hit=true
A24: hit=true
A28: hit=true
A2C: hit=true
A30: hit=true
A34: hit=true
A38: hit=true
A3C: hit=true
A40: hit=false
A44: hit=true
A48: hit=true
A4C: hit=true
A50: hit=true
A54: hit=true
A58: hit=true
A5C: hit=true
A60: hit=true
A64: hit=true
A68: hit=true
A6C: hit=true
A70: hit=true
A74: hit=true
A78: hit=true
A7C: hit=true
A80: hit=false
A84: hit=true
A88: hit=true
A8C: hit=true
A90: hit=true
A94: hit=true
A98: hit=true
A9C: hit=true
AA0: hit=true
AA4: hit=true
AA8: hit=true
AAC: hit=true
AB0: hit=true
AB4: hit=true
AB8: hit=true
ABC: hit=true
AC0: hit=false
AC4: hit=true
AC8: hit=true
ACC: hit=true
AD0: hit=true
AD4: hit=true
AD8: hit=true
ADC: hit=true
AE0: hit=true
AE4: hit=true
AE8: hit=true
AEC: hit=true
AF0: hit=true
AF4: hit=true
AF8: hit=true
AFC: hit=true
B00: hit=false
B04: hit=true
B08: hit=true
B0C: hit=true
B10: hit=true
B14: hit=true
B18: hit=true
B1C: hit=true
B20: hit=true
B24: hit=true
B28: hit=true
B2C: hit=true
B30: hit=true
B34: hit=true
B38: hit=true
B3C: hit=true
B40: hit=false
B44: hit=true
B48: hit=true
B4C: hit=true
B50: hit=true
B54: hit=true
B58: hit=true
B5C: hit=true
B60: hit=true
B64: hit=true
B68: hit=true
B6C: hit=true
B70: hit=true
B74: hit=true
B78: hit=true
B7C: hit=true
B80: hit=false
B84: hit=true
B88: hit=true
B8C: hit=true
B90: hit=true
B94: hit=true
B98: hit=true
B9C: hit=true
BA0: hit=true
BA4: hit=true
BA8: hit=true
BAC: hit=true
BB0: hit=true
BB4: hit=true
BB8: hit=true
BBC: hit=true
BC0: hit=false
BC4: hit=true
BC8: hit=true
BCC: hit=true
BD0: hit=true
BD4: hit=true
BD8: hit=true
BDC: hit=true
BE0: hit=true
BE4: hit=true
BE8: hit=true
BEC: hit=true
BF0: hit=true
BF4: hit=true
BF8: hit=true
BFC: hit=true
C00: hit=false
C04: hit=true
C08: hit=true
C0C: hit=true
C10: hit=true
C14: hit=true
C18: hit=true
C1C: hit=true
C20: hit=true
C24: hit=true
C28: hit=true
C2C: hit=true
C30: hit=true
C34: hit=true
C38: hit=true
C3C: hit=true
C40: hit=false
C44: hit=true
C48: hit=true
C4C: hit=true
C50: hit=true
C54: hit=true
C58: hit=true
C5C: hit=true
C60: hit=true
C64: hit=true
C68: hit=true
C6C: hit=true
C70: hit=true
C74: hit=true
C78: hit=true
C7C: hit=true
C80: hit=false
C84: hit=true
C88: hit=true
C8C: hit=true
C90: hit=true
C94: hit=true
C98: hit=true
C9C: hit=true
CA0: hit=true
CA4: hit=true
CA8: hit=true
CAC: hit=true
CB0: hit=true
CB4: hit=true
CB8: hit=true
CBC: hit=true
CC0: hit=false
CC4: hit=true
CC8: hit=true
CCC: hit=true
CD0: hit=true
CD4: hit=true
CD8: hit=true
CDC: hit=true
CE0: hit=true
CE4: hit=true
CE8: hit=true
CEC: hit=true
CF0: hit=true
CF4: hit=true
CF8: hit=true
CFC: hit=true
D00: hit=false
D04: hit=true
D08: hit=true
D0C: hit=true
D10: hit=true
D14: hit=true
D18: hit=true
D1C: hit=true
D20: hit=true
D24: hit=true
D28: hit=true
D2C: hit=true
D30: hit=true
D34: hit=true
D38: hit=true
D3C: hit=true
D40: hit=false
D44: hit=true
D48: hit=true
D4C: hit=true
D50: hit=true
D54: hit=true
D58: hit=true
D5C: hit=true
D60: hit=true
D64: hit=true
D68: hit=true
D6C: hit=true
D70: hit=true
D74: hit=true
D78: hit=true
D7C: hit=true
D80: hit=false
D84: hit=true
D88: hit=true
D8C: hit=true
D90: hit=true
D94: hit=true
D98: hit=true
D9C: hit=true
DA0: hit=true
DA4: hit=true
DA8: hit=true
DAC: hit=true
DB0: hit=true
DB4: hit=true
DB8: hit=true
DBC: hit=true
DC0: hit=false
DC4: hit=true
DC8: hit=true
DCC: hit=true
DD0: hit=true
DD4: hit=true
DD8: hit=true
DDC: hit=true
DE0: hit=true
DE4: hit=true
DE8: hit=true
DEC: hit=true
DF0: hit=true
DF4: hit=true
DF8: hit=true
DFC: hit=true
E00: hit=false
E04: hit=true
E08: hit=true
E0C: hit=true
E10: hit=true
E14: hit=true
E18: hit=true
E1C: hit=true
E20: hit=true
E24: hit=true
E28: hit=true
E2C: hit=true
E30: hit=true
E34: hit=true
E38: hit=true
E3C: hit=true
E40: hit=false
E44: hit=true
E48: hit=true
E4C: hit=true
E50: hit=true
E54: hit=true
E58: hit=true
E5C: hit=true
E60: hit=true
E64: hit=true
E68: hit=true
E6C: hit=true
E70: hit=true
E74: hit=true
E78: hit=true
E7C: hit=true
E80: hit=false
E84: hit=true
E88: hit=true
E8C: hit=true
E90: hit=true
E94: hit=true
E98: hit=true
E9C: hit=true
EA0: hit=true
EA4: hit=true
EA8: hit=true
EAC: hit=true
EB0: hit=true
EB4: hit=true
EB8: hit=true
EBC: hit=true
EC0: hit=false
EC4: hit=true
EC8: hit=true
ECC: hit=true
ED0: hit=true
ED4: hit=true
ED8: hit=true
EDC: hit=true
EE0: hit=true
EE4: hit=true
EE8: hit=true
EEC: hit=true
EF0: hit=true
EF4: hit=true
EF8: hit=true
EFC: hit=true
F00: hit=false
F04: hit=true
F08: hit=true
F0C: hit=true
F10: hit=true
F14: hit=true
F18: hit=true
F1C: hit=true
F20: hit=true
F24: hit=true
F28: hit=true
F2C: hit=true
F30: hit=true
F34: hit=true
F38: hit=true
F3C: hit=true
F40: hit=false
F44: hit=true
F48: hit=true
F4C: hit=true
F50: hit=true
F54: hit=true
F58: hit=true
F5C: hit=true
F60: hit=true
F64: hit=true
F68: hit=true
F6C: hit=true
F70: hit=true
F74: hit=true
F78: hit=true
F7C: hit=true
F80: hit=false
F84: hit=true
F88: hit=true
F8C: hit=true
F90: hit=true
F94: hit=true
F98: hit=true
F9C: hit=true
FA0: hit=true
FA4: hit=true
FA8: hit=true
FAC: hit=true
FB0: hit=true
FB4: hit=true
FB8: hit=true
FBC: hit=true
FC0: hit=false
FC4: hit=true
FC8: hit=true
FCC: hit=true
FD0: hit=true
FD4: hit=true
FD8: hit=true
FDC: hit=true
FE0: hit=true
FE4: hit=true
FE8: hit=true
FEC: hit=true
FF0: hit=true
FF4: hit=true
FF8: hit=true
FFC: hit=true
1000: hit=false
1004: hit=true
1008: hit=true
100C: hit=true
1010: hit=true
1014: hit=true
1018: hit=true
101C: hit=true
1020: hit=true
1024: hit=true
1028: hit=true
102C: hit=true
1030: hit=true
1034: hit=true
1038: hit=true
103C: hit=true
1040: hit=false
1044: hit=true
1048: hit=true
104C: hit=true
1050: hit=true
1054: hit=true
1058: hit=true
105C: hit=true
1060: hit=true
1064: hit=true
1068: hit=true
106C: hit=true
1070: hit=true
1074: hit=true
1078: hit=true
107C: hit=true
1080: hit=false
1084: hit=true
1088: hit=true
108C: hit=true
1090: hit=true
1094: hit=true
1098: hit=true
109C: hit=true
10A0: hit=true
10A4: hit=true
10A8: hit=true
10AC: hit=true
10B0: hit=true
10B4: hit=true
10B8: hit=true
10BC: hit=true
10C0: hit=false
10C4: hit=true
10C8: hit=true
10CC: hit=true
10D0: hit=true
10D4: hit=true
10D8: hit=true
10DC: hit=true
10E0: hit=true
10E4: hit=true
10E8: hit=true
10EC: hit=true
10F0: hit=true
10F4: hit=true
10F8: hit=true
10FC: hit=true
1100: hit=false
1104: hit=true
1108: hit=true
110C: hit=true
1110: hit=true
1114: hit=true
1118: hit=true
111C: hit=true
1120: hit=true
1124: hit=true
1128: hit=true
112C: hit=true
1130: hit=true
1134: hit=true
1138: hit=true
113C: hit=true
1140: hit=false
1144: hit=true
1148: hit=true
114C: hit=true
1150: hit=true
1154: hit=true
1158: hit=true
115C: hit=true
1160: hit=true
1164: hit=true
1168: hit=true
116C: hit=true
1170: hit=true
1174: hit=true
1178: hit=true
117C: hit=true
1180: hit=false
1184: hit=true
1188: hit=true
118C: hit=true
1190: hit=true
1194: hit=true
1198: hit=true
119C: hit=true
11A0: hit=true
11A4: hit=true
11A8: hit=true
11AC: hit=true
11B0: hit=true
11B4: hit=true
11B8: hit=true
11BC: hit=true
11C0: hit=false
11C4: hit=true
11C8: hit=true
11CC: hit=true
11D0: hit=true
11D4: hit=true
11D8: hit=true
11DC: hit=true
11E0: hit=true
11E4: hit=true
11E8: hit=true
11EC: hit=true
11F0: hit=true
11F4: hit=true
11F8: hit=true
11FC: hit=true
1200: hit=false
1204: hit=true
1208: hit=true
120C: hit=true
1210: hit=true
1214: hit=true
1218: hit=true
121C: hit=true
1220: hit=true
1224: hit=true
1228: hit=true
122C: hit=true
1230: hit=true
1234: hit=true
1238: hit=true
123C: hit=true
1240: hit=false
1244: hit=true
1248: hit=true
124C: hit=true
1250: hit=true
1254: hit=true
1258: hit=true
125C: hit=true
1260: hit=true
1264: hit=true
1268: hit=true
126C: hit=true
1270: hit=true
1274: hit=true
1278: hit=true
127C: hit=true
1280: hit=false
1284: hit=true
1288: hit=true
128C: hit=true
1290: hit=true
1294: hit=true
1298: hit=true
129C: hit=true
12A0: hit=true
12A4: hit=true
12A8: hit=true
12AC: hit=true
12B0: hit=true
12B4: hit=true
12B8: hit=true
12BC: hit=true
12C0: hit=false
12C4: hit=true
12C8: hit=true
12CC: hit=true
12D0: hit=true
12D4: hit=true
12D8: hit=true
12DC: hit=true
12E0: hit=true
12E4: hit=true
12E8: hit=true
12EC: hit=true
12F0: hit=true
12F4: hit=true
12F8: hit=true
12FC: hit=true
1300: hit=false
1304: hit=true
1308: hit=true
130C: hit=true
1310: hit=true
1314: hit=true
1318: hit=true
131C: hit=true
1320: hit=true
1324: hit=true
1328: hit=true
132C: hit=true
1330: hit=true
1334: hit=true
1338: hit=true
133C: hit=true
1340: hit=false
1344: hit=true
1348: hit=true
134C: hit=true
1350: hit=true
1354: hit=true
1358: hit=true
135C: hit=true
1360: hit=true
1364: hit=true
1368: hit=true
136C: hit=true
1370: hit=true
1374: hit=true
1378: hit=true
137C: hit=true
1380: hit=false
1384: hit=true
1388: hit=true
138C: hit=true
1390: hit=true
1394: hit=true
1398: hit=true
139C: hit=true
13A0: hit=true
13A4: hit=true
13A8: hit=true
13AC: hit=true
13B0: hit=true
13B4: hit=true
13B8: hit=true
13BC: hit=true
13C0: hit=false
13C4: hit=true
13C8: hit=true
13CC: hit=true
13D0: hit=true
13D4: hit=true
13D8: hit=true
13DC: hit=true
13E0: hit=true
13E4: hit=true
13E8: hit=true
13EC: hit=true
13F0: hit=true
13F4: hit=true
13F8: hit=true
13FC: hit=true
1400: hit=false
1404: hit=true
1408: hit=true
140C: hit=true
1410: hit=true
1414: hit=true
1418: hit=true
141C: hit=true
1420: hit=true
1424: hit=true
1428: hit=true
142C: hit=true
1430: hit=true
1434: hit=true
1438: hit=true
143C: hit=true
1440: hit=false
1444: hit=true
1448: hit=true
144C: hit=true
1450: hit=true
1454: hit=true
1458: hit=true
145C: hit=true
1460: hit=true
1464: hit=true
1468: hit=true
146C: hit=true
1470: hit=true
1474: hit=true
1478: hit=true
147C: hit=true
1480: hit=false
1484: hit=true
1488: hit=true
148C: hit=true
1490: hit=true
1494: hit=true
1498: hit=true
149C: hit=true
14A0: hit=true
14A4: hit=true
14A8: hit=true
14AC: hit=true
14B0: hit=true
14B4: hit=true
14B8: hit=true
14BC: hit=true
14C0: hit=false
14C4: hit=true
14C8: hit=true
14CC: hit=true
14D0: hit=true
14D4: hit=true
14D8: hit=true
14DC: hit=true
14E0: hit=true
14E4: hit=true
14E8: hit=true
14EC: hit=true
14F0: hit=true
14F4: hit=true
14F8: hit=true
14FC: hit=true
1500: hit=false
1504: hit=true
1508: hit=true
150C: hit=true
1510: hit=true
1514: hit=true
1518: hit=true
151C: hit=true
1520: hit=true
1524: hit=true
1528: hit=true
152C: hit=true
1530: hit=true
1534: hit=true
1538: hit=true
153C: hit=true
1540: hit=false
1544: hit=true
1548: hit=true
154C: hit=true
1550: hit=true
1554: hit=true
1558: hit=true
155C: hit=true
1560: hit=true
1564: hit=true
1568: hit=true
156C: hit=true
1570: hit=true
1574: hit=true
1578: hit=true
157C: hit=true
1580: hit=false
1584: hit=true
1588: hit=true
158C: hit=true
1590: hit=true
1594: hit=true
1598: hit=true
159C: hit=true
15A0: hit=true
15A4: hit=true
15A8: hit=true
15AC: hit=true
15B0: hit=true
15B4: hit=true
15B8: hit=true
15BC: hit=true
15C0: hit=false
15C4: hit=true
15C8: hit=true
15CC: hit=true
15D0: hit=true
15D4: hit=true
15D8: hit=true
15DC: hit=true
15E0: hit=true
15E4: hit=true
15E8: hit=true
15EC: hit=true
15F0: hit=true
15F4: hit=true
15F8: hit=true
15FC: hit=true
1600: hit=false
1604: hit=true
1608: hit=true
160C: hit=true
1610: hit=true
1614: hit=true
1618: hit=true
161C: hit=true
1620: hit=true
1624: hit=true
1628: hit=true
162C: hit=true
1630: hit=true
1634: hit=true
1638: hit=true
163C: hit=true
1640: hit=false
1644: hit=true
1648: hit=true
164C: hit=true
1650: hit=true
1654: hit=true
1658: hit=true
165C: hit=true
1660: hit=true
1664: hit=true
1668: hit=true
166C: hit=true
1670: hit=true
1674: hit=true
1678: hit=true
167C: hit=true
1680: hit=false
1684: hit=true
1688: hit=true
168C: hit=true
1690: hit=true
1694: hit=true
1698: hit=true
169C: hit=true
16A0: hit=true
16A4: hit=true
16A8: hit=true
16AC: hit=true
16B0: hit=true
16B4: hit=true
16B8: hit=true
16BC: hit=true
16C0: hit=false
16C4: hit=true
16C8: hit=true
16CC: hit=true
16D0: hit=true
16D4: hit=true
16D8: hit=true
16DC: hit=true
16E0: hit=true
16E4: hit=true
16E8: hit=true
16EC: hit=true
16F0: hit=true
16F4: hit=true
16F8: hit=true
16FC: hit=true
1700: hit=false
1704: hit=true
1708: hit=true
170C: hit=true
1710: hit=true
1714: hit=true
1718: hit=true
171C: hit=true
1720: hit=true
1724: hit=true
1728: hit=true
172C: hit=true
1730: hit=true
1734: hit=true
1738: hit=true
173C: hit=true
1740: hit=false
1744: hit=true
1748: hit=true
174C: hit=true
1750: hit=true
1754: hit=true
1758: hit=true
175C: hit=true
1760: hit=true
1764: hit=true
1768: hit=true
176C: hit=true
1770: hit=true
1774: hit=true
1778: hit=true
177C: hit=true
1780: hit=false
1784: hit=true
1788: hit=true
178C: hit=true
1790: hit=true
1794: hit=true
1798: hit=true
179C: hit=true
17A0: hit=true
17A4: hit=true
17A8: hit=true
17AC: hit=true
17B0: hit=true
17B4: hit=true
17B8: hit=true
17BC: hit=true
17C0: hit=false
17C4: hit=true
17C8: hit=true
17CC: hit=true
17D0: hit=true
17D4: hit=true
17D8: hit=true
17DC: hit=true
17E0: hit=true
17E4: hit=true
17E8: hit=true
17EC: hit=true
17F0: hit=true
17F4: hit=true
17F8: hit=true
17FC: hit=true
1800: hit=false
1804: hit=true
1808: hit=true
180C: hit=true
1810: hit=true
1814: hit=true
1818: hit=true
181C: hit=true
1820: hit=true
1824: hit=true
1828: hit=true
182C: hit=true
1830: hit=true
1834: hit=true
1838: hit=true
183C: hit=true
1840: hit=false
1844: hit=true
1848: hit=true
184C: hit=true
1850: hit=true
1854: hit=true
1858: hit=true
185C: hit=true
1860: hit=true
1864: hit=true
1868: hit=true
186C: hit=true
1870: hit=true
1874: hit=true
1878: hit=true
187C: hit=true
1880: hit=false
1884: hit=true
1888: hit=true
188C: hit=true
1890: hit=true
1894: hit=true
1898: hit=true
189C: hit=true
18A0: hit=true
18A4: hit=true
18A8: hit=true
18AC: hit=true
18B0: hit=true
18B4: hit=true
18B8: hit=true
18BC: hit=true
18C0: hit=false
18C4: hit=true
18C8: hit=true
18CC: hit=true
18D0: hit=true
18D4: hit=true
18D8: hit=true
18DC: hit=true
18E0: hit=true
18E4: hit=true
18E8: hit=true
18EC: hit=true
18F0: hit=true
18F4: hit=true
18F8: hit=true
18FC: hit=true
1900: hit=false
1904: hit=true
1908: hit=true
190C: hit=true
1910: hit=true
1914: hit=true
1918: hit=true
191C: hit=true
1920: hit=true
1924: hit=true
1928: hit=true
192C: hit=true
1930: hit=true
1934: hit=true
1938: hit=true
193C: hit=true
1940: hit=false
1944: hit=true
1948: hit=true
194C: hit=true
1950: hit=true
1954: hit=true
1958: hit=true
195C: hit=true
1960: hit=true
1964: hit=true
1968: hit=true
196C: hit=true
1970: hit=true
1974: hit=true
1978: hit=true
197C: hit=true
1980: hit=false
1984: hit=true
1988: hit=true
198C: hit=true
1990: hit=true
1994: hit=true
1998: hit=true
199C: hit=true
19A0: hit=true
19A4: hit=true
19A8: hit=true
19AC: hit=true
19B0: hit=true
19B4: hit=true
19B8: hit=true
19BC: hit=true
19C0: hit=false
19C4: hit=true
19C8: hit=true
19CC: hit=true
19D0: hit=true
19D4: hit=true
19D8: hit=true
19DC: hit=true
19E0: hit=true
19E4: hit=true
19E8: hit=true
19EC: hit=true
19F0: hit=true
19F4: hit=true
19F8: hit=true
19FC: hit=true
1A00: hit=false
1A04: hit=true
1A08: hit=true
1A0C: hit=true
1A10: hit=true
1A14: hit=true
1A18: hit=true
1A1C: hit=true
1A20: hit=true
1A24: hit=true
1A28: hit=true
1A2C: hit=true
1A30: hit=true
1A34: hit=true
